"MyWord","fields"
"階級","かいきゅう&nbsp;(social) class​<br><div>&nbsp;2. rank; grade​</div><div><br></div><div>労働者階級<br></div><div>proletariat<br></div><div>中流階級<br></div><div>middle class<br></div><div>上流階級</div><div>upper class<br></div><div>彼は２年前に、大佐の階級に昇進した。 <div> He was raised to the rank of colonel two years ago</div></div> [sound:neospeech-81f7af28-5dec84d7-fb7c4ffc-eb076ff8-5d5966e3.mp3]階級"
"指紋","しもん&nbsp;fingerprint​<br><div><br></div><div>残された指紋<br></div><div>fingerprints that were left</div><div><br></div><div><div>紋 family crest, figures&nbsp;</div></div> [sound:neospeech-c2d89981-89dfec74-a8e31228-baec2a06-a871ac07.mp3]指紋"
"修業","しゅうぎょう&nbsp;pursuit of knowledge<br><div>&nbsp;2. completing a course</div><div><br></div><div><div>禅を修業する</div><div>to submit oneself to the Zen discipline</div></div><div><div>修業証書</div><div>a certificate of completion of study</div></div><div><br></div><div><div>修 discipline, conduct oneself well</div></div> [sound:neospeech-8b96c1cd-e909e0f8-8e42b915-17e63be1-658deb11.mp3]修業"
"手応え","<div><div>てごたえ response (felt in the hands)​</div></div><div><div>2. reaction; response; effect​</div></div><div><br></div><div><div><b><b>手応え</b></b>を感じて急いで竿を引いた.</div><div>Feeling a tug on the line, I pulled the rod up quickly</div></div><div><div><b><b>手応え</b></b>の無い</div><div>to have no response</div></div><div><div><b><b>手応え</b></b>のないこと</div><div>the state or quality of being irresponsive</div></div> [sound:neospeech-8eada0b2-76c78d42-187a2e7e-1f1f6c3a-4082e2a5.mp3]手応え"
"中世","ちゅうせい&nbsp;&nbsp;Middle Ages<br><div>in Japan esp. the Kamakura and Muromachi periods<br></div><div><img src=""paste-258ceff4782663490130cd663f4a1ed9d65d3600.jpg""><br></div> [sound:neospeech-ad3ea10a-42255b6e-caf532e1-a40fb33e-c798942c.mp3]中世"
"節","ふし<div><br></div><div><div><div>節<br></div><div>joint; knuckle<br></div><div><img src=""paste-54456b6475f2263aec31f26608786c56231ba526.jpg""><br></div><div>節<br></div><div>tune; melody<br></div><div><img src=""paste-64750d40ce30e9a15c00f5e92254014d3264dd10.jpg""></div></div></div> [sound:neospeech-405b3af1-657afad5-bcadb80a-ac084deb-c46e6679.mp3]節 (not:<img src=""paste-14937896255489.jpg"">&nbsp;&nbsp;occasion; time​)"
"煉瓦","れんが brick<br><div><br></div><div><div>煉 refine metals, kneading over fire&nbsp;</div></div><div><div>瓦 tile, gram&nbsp;&nbsp;</div></div><div><img src=""paste-947fdb0be23d1877f5c42f840456bf87602bf7cf.jpg""><br></div> [sound:neospeech-2f0a70c2-c3a5cdc4-d9cd0eef-613adce7-dfbc9a81.mp3]煉瓦"
"罅","<img src=""paste-a4ae768575926dee9bc7b40f53ae1ccb7caec803.jpg"">&nbsp;crack; fissure​<div>crack; crevice; fissure​</div><div>to crack; to develop a crack​<br><div><br></div><div>その茶碗にはひびがある。 <div> The cup has a crack</div></div></div><div><div>皮膚が<b><b>罅</b></b>割れする</div><div>of human skin, to become cracked</div></div><div><div><b><b>罅</b></b>焼きという,陶磁器の焼き方</div><div>a method of baking pottery, called {crackling}</div></div> [sound:voicetext-5cca4297-6d9a3cd0-062fec7d-c7ac2ee7-0d47789d.mp3]罅"
"航海","こうかい&nbsp;&nbsp;voyage; navigation; sailing<div><div><br></div><div>航 navigate, sail, cruise</div><div><img src=""paste-e1339675feba3f8e11b56919f74fd0f70308d23d.jpg""><br></div></div> [sound:neospeech-62bf698e-2d35e2bc-39dc95d5-d2cddeaa-9e85e720.mp3]航海"
"災い","わざわい&nbsp;calamity; catastrophe; misfortune​<br><div><br></div><div>災いを招く</div><div>to bring calamity upon oneself<br></div><div>彼の優柔不断が将来の災いの種をまいた。 <div> His indecision sowed the seeds of future trouble</div></div><div>彼に災いあれ。 <div> Woe betide him!</div></div><div><br></div><div><div>災 disaster, calamity, woe, curse</div></div> [sound:neospeech-9bc839bb-06c682cb-f179be50-b7a30d34-62565b7e.mp3]災い"
"消耗","<div>消耗品&nbsp;consumable goods​<br></div><div>消耗的&nbsp; exhaustive<br></div><div><br></div>しょうもう exhaustion; consumption; using up<br><div><br></div><div>その男の子の世話で彼女は非常に精力を消耗する。 <div> Taking care of the boy is a great drain on her energies</div></div><div><br></div><div><div>耗&nbsp; decrease&nbsp;</div></div> [sound:neospeech-f012ed1b-c36ca1c3-92b1c547-51efd645-41403707.mp3]消耗"
"呆れる","あきれる&nbsp; [usu. cause of someone's negative behavior] to be amazed; to be shocked; to be astonished&nbsp;<br><div><div><img src=""paste-47e403a520e5ff32ed085146db24abcc6cf7ac26.jpg""><br></div><div><img src=""paste-5b430c079df13c0c30c08dab7de97b7dd3b60a1c.jpg""></div></div><div>彼の不注意にはあきれてしまった。 <div> I was amazed at his carelessness</div></div><div>正直が聞いて呆れるよ。 <div> Him, honest? What a joke!</div></div><div>君がそんなにお金を使うとはあきれるばかりだ。 <div> It is outrageous that you should spend so much money</div></div><div>彼は呆れて黙っていた。 <div> He was shocked into silence</div></div><div><br></div><div><div>呆 be amazed, disgusted, shocked&nbsp;</div></div><div><br></div> [sound:neospeech-8b5ab423-161ea02c-0ae3f178-fb3d957b-468bd618.mp3]呆れる"
"里","り&nbsp; ri; old Japanese unit of distance, approx. 3.927km or 2.44 miles​<br><div><br></div><div>さと village; hamlet​<br></div><div><div>2. countryside; country​</div></div> [sound:neospeech-b79a2c99-8173bad7-4801bb50-9d4e262a-5af134d4.mp3]里"
"波長","はちょう&nbsp; wavelength<br><div><br></div><div><div>波 waves, billows&nbsp;</div></div><div><br></div><div><img src=""paste-0a2a0cc9baf87a1ad4a985dbff82e4d8b6f8b5b0.jpg""><br></div> [sound:neospeech-4e104299-77a64123-8fc30b94-d0dc576c-63056868.mp3]波長"
"全うする","まっとうする. Complete/fulfill do<div><br></div><div><div>天寿をまっとうする.</div><div>live out one's natural life</div></div><div><div>任務を全うする</div><div>to fully perform a service</div></div><div><div>終りを全うする</div><div>to come to a good end―come to a happy termination</div></div><div><div>彼は晩節を全うした.</div><div>He carried his spotless character to the grave</div></div> [sound:neospeech-0ac467ba-538631b0-2d092b0b-518e4a6b-6d17ec9c.mp3]全うする"
"獅子","<div>しし<br></div><div>Lion</div><img src=""paste-6b3364d4935d103283ccaa5df4498085c8508cd0.jpg""><div></div> [sound:oddcast-63096c79-e2583acd-3ce04bfe-1300f5ce-e347f23a.mp3]獅子"
"治癒","ちゆ healing; cure; recovery​<div><br><div><img src=""paste-625c7691984ff862503026e5e7ecfef07585489e.jpg""><br></div></div> [sound:neospeech-95f657ec-7b809bdb-9a5c806a-6cb5e442-2c2cb5bc.mp3]治癒"
"醜悪","しゅうあく&nbsp;&nbsp;ugly; unsightly; hideous<br><div><br></div><div>醜い&nbsp; みにく.い</div> [sound:neospeech-2bb12307-bb132d20-647cc487-35996649-b074d152.mp3]醜悪"
"狂気","きょうき madness; insanity​<div><br></div><div>彼がしたことは狂気の沙汰としか言いようがなかった。 <div> What he did was nothing less than madness</div></div><div><br></div><div>狂う&nbsp; くる.う</div><div><img src=""paste-579c25df61f61a0fddb6667312a1f671b24cff5d.jpg""><br></div> [sound:neospeech-01290d3e-6eb75831-d7eae6ec-77fcfaa8-f6f188d9.mp3]狂気"
"相乗","そうじょう multiplication; synergism​<div>2 together is more than sum of parts<br><div><br></div><div><div><b><b>相乗</b></b>効果</div><div>a synergistic effect</div></div><div><div>相加[<b><b>相乗</b></b>]平均</div><div>an arithmetical [geometrical] average</div></div><div><br></div><div><div>相 inter-, mutual, together, each other</div></div></div><div><div>乗 ride, multiplication</div></div> [sound:neospeech-67aa068c-a8703445-6f6deb3a-e8019c54-778f4a90.mp3]相乗"
"最上","さいじょう best​ (x); what's best<div>&nbsp;2. top (phsycial)<br><div><br></div><div>彼は古今最上の詩人だ。 <div> He is as great a poet as ever lived.</div></div><div>正直は最上の策。 <div> Honesty is the best policy</div></div><div>自助は最上の助け。 <div> Self-help is the best help</div></div></div><div><br></div><div>彼はよい眺めが楽しめるように最上階の部屋を借りた。 <div> He rented a room on the top floor in order to enjoy a good view</div></div> [sound:neospeech-cc2b0640-268dfde9-ddfd70b9-dd08630f-ca1fc0fa.mp3]最上"
"献上","献上<div>presenting-giving something to someone above you<br></div><div><br></div><div>献上品<br></div><div>present given to someone above you</div><div><img src=""paste-4b503354087d7e65785c4c1c3a9beac94a9e04b1.jpg""></div><div><div><div></div></div></div> [sound:oddcast-f9af5c4d-c43b3644-5d28f073-434bd8dd-385958fd.mp3]献上"
"負傷","<div><div>負傷<br></div><div>ふしょう</div><div>injury; wound​<br></div><div><br></div></div>負傷者<div>the injured<div><div>負傷した兵士はほとんど歩けなかった。 <div> The wounded soldier could hardly walk</div></div><div><img src=""paste-b87e99f2a8e2ec1d68381f7eefc8dba062e0db93.jpg""><br></div><div>[already have audio card]</div> [sound:neospeech-6a61a2a5-97232cfd-2ea5bf09-7e9f8a9e-378d5164.mp3]</div></div>負傷"
"凄まじい","すさまじい terrific; fierce; terrible; tremendous<br><div><br></div><div>木がすさまじい音を立てて倒れるのが聞こえた。 <div> We heard the tree fall with a great crash</div></div><div>爆発がとてもすさまじかったので、屋根が吹っとんだ。 <div> Such was the explosion that the roof was blown off</div></div><div>国内市場の競争はすさまじいものです。 <div> Competition in the domestic market is cutthroat</div></div><div><div><br></div><div>凄 uncanny, weird, threatening</div></div> [sound:neospeech-c9dcf6be-cf6355cf-d0ffddfb-4ac9fc94-d21e3d01.mp3]凄まじい"
"次回","じかい next time (occasion)​<br><div><br></div><div>次回は必ずその本を持ってきて下さい。 <div> Next time bring me that book without fail!</div></div><div>次回予告<br></div><div>preview of next installment<br></div> [sound:neospeech-7e5690de-e1ac7a93-645ecd62-912291cd-0aecaad8.mp3]次回"
"容赦","<div>容赦なく&nbsp;mercilessly; relentlessly; unsparingly​<br></div><div><br></div>ようしゃ&nbsp;pardon; forgiveness; tolerance<br><div><br></div><div>どうかひらにご容赦ください。 <div> Please accept my humble apologies</div></div><div>そのことはもはや容赦できない。 <div> I can't put up with it any longer</div></div><div><br></div><div><div>赦 pardon, forgiveness&nbsp;</div><div>容 contain, form</div></div> [sound:neospeech-ba0462cc-9d8a0188-755090a0-d614b927-99ae14be.mp3]容赦"
"遺憾","いかん regrettable; unsatisfactory​<div>[<b>grave, solemn occasion</b>]<br><div><br></div><div>彼はその事件に遺憾の意を表した。 <div> He expressed regret over the affair</div></div><div>彼に機嫌を損ねられて実に遺憾だった。 <div> I found it truly regrettable that he should take offence</div></div><div>大変遺憾ながら彼女が亡くなったことをお知らせします。 <div> I am very sorry to inform you that she died</div></div><div><br></div><div><div>遺 bequeath, leave behind, reserve&nbsp;</div></div><div><div>憾 remorse, regret</div></div></div> [sound:neospeech-d36dd5cc-75f725b2-fe679384-9e19953f-173157ff.mp3]遺憾"
"お気にいり","おきにいり&nbsp;&nbsp;favorite; pet<div>&nbsp;2. favorite (bookmark; browser)<br><div><br></div><div>彼は自分の<b>お気に入りの本</b>を私への置き土産にして大阪に引っ越した。 <div> He left me with his favorite book and moved to Osaka</div></div><div>太郎はお<b>母さんのお気に入り</b>だ。 <div> Taro is on the right side of his mother</div></div><div><b>私のお気に入りの味</b>はチョコレートです。 <div> My favorite flavor is chocolate</div></div></div> [sound:neospeech-0e304fb3-fb185c7a-2ee5f763-1480c3ce-acd6b473.mp3]お気にいり"
"晴らす","はらす to dispel; to clear away; to refresh (oneself)​<div><div>2. to accomplish a goal​</div></div><div><div>3. to make it sunny</div></div><div><br></div><div>私はその事に対する疑いを晴らす事ができなかった。 <div> I could not get rid of my doubt about it</div></div><div>音楽を聞いて気を晴らした。 <div> I cheered myself up by listening to music</div></div> [sound:neospeech-1bcd8b69-918b982c-20705f95-32992c94-3b05c04b.mp3]晴らす"
"淵","ふち&nbsp; deep pool; deep water; abyss​See also 瀬<div><div>2. depths (e.g. of despair, etc.); grip (e.g. of death</div></div><div><br></div><div><div>絶望の淵</div><div>the slough of despond&nbsp;</div></div><div><div>淵の底</div><div>the bottom of a deep body of water</div></div><div><img src=""paste-e75b2e8874087287ffb65bb85633f781cbf16ab6.jpg""><br></div> [sound:neospeech-c28a194f-8597a929-2de3f635-f980e81a-26782608.mp3]淵"
"貧弱","ひんじゃく poor; meagre; feeble; scanty<br><div><br></div><div><div>貧弱の思想</div><div>meagre ideas</div></div><div><div>内容貧弱</div><div>The book is meagre in contents</div></div><div>彼の英語の知識は貧弱である。 <div> His knowledge of English is poor.</div></div><div><br></div><div><div>貧 poverty, poor&nbsp;</div></div> [sound:neospeech-85087bc3-63355636-49a6b365-14adbc39-eab600fb.mp3]貧弱"
"忘却","ぼうきゃく lapse of memory; forgetting completely<br><div><br></div><div><div><b><b>忘却</b></b>すること</div><div>the state of having forgotten</div></div><div><div>つらい記憶の<b><b>忘却</b></b></div><div>the obliteration of painful memories</div></div><div><div>前後を<b><b>忘却</b></b>する</div><div>to forget one's surroundings―forget oneself</div></div><div><div><br></div><div>却 instead, on the contrary, rather</div></div> [sound:neospeech-ee528ab5-9c99608c-bc9bfbc5-38b99d48-9aff2d4f.mp3]忘却"
"哀れむ","あわれむ<br><div><br></div><div>人々はその孤児を哀れんだ。 <div> People took pity on the orphan</div></div><div>宗教は、自暴自棄になった移民達をあわ哀れんで助けを与えた。 <div> The bishop took pity on the desperate immigrants</div></div><div><div><br></div><div>哀 pathetic, grief, sorrow, pathos</div></div> [sound:neospeech-fc2cca98-35994f85-5727e7d2-98551c42-d6ecd8d1.mp3]哀れむ"
"刺","<div><div>とげのある言葉</div><div><br></div><div>とげ&nbsp; thorn; spine; prickle​</div></div><div>2.&nbsp;biting words​<br></div><div><br></div><div>彼の<b>言葉</b>には<b>とげがあった</b>。 <div> There was a bite in his remark</div></div><div>私のと<b>げのある言葉</b>が彼女を傷つけた。 <div> My harsh words bruised her feeling</div></div><div><img src=""paste-0da06eaaa52f891721cca7b71d165ee06a7b9559.jpg""><br></div><div>私はゆび指にを刺した。 <div> I ran a splinter into my finger</div></div> [sound:oddcast-e1f01b31-0536136d-27cc9b40-5519eb86-bbbbb9ab.mp3]刺"
"斬る","きる&nbsp;to kill (a human) using a blade (sword, machete, knife, etc.); to slice (off);<br><div><img src=""paste-fc273042ad6c381de2ced30157d64fba6b2b3000.jpg""><br></div><div><img src=""paste-a172badb5138a9534dc64c33c4a8e75e86b64a93.jpg""><br></div> [sound:neospeech-77c8d469-ec4a8705-ab07ebca-85a57db1-59b5f955.mp3]斬る"
"血管","けっかん blood vessel; vein​<br><div><br></div><div>切れた血管から血がどくどくと流れ出た。 <div> Blood poured from the cut vein</div></div><div><br></div><div><div>管 pipe, tube, wind instrument</div></div><div><img src=""paste-4ab9ef189e7ffbf309e047bc6d65c5019f405a7c.jpg""><br></div> [sound:neospeech-9a097c0c-9145d7a9-3365a686-cfd6f3af-8b97e492.mp3]血管"
"弾力","<div>弾力性(がある)</div><div>弾力化</div><div><br></div>だんりょく elasticity; flexibility<div><br></div><div>この材質は弾力性に欠ける。 <div> This material has no give.</div></div><div>もう少し諸規則の弾力的運用はできないか。 <div> Can't you apply the rules a little more elastically?</div></div><div>ゴムのボールは弾力性があるから弾む。 <div> A rubber ball bounces because it is elastic</div></div><div><br></div><div>弾む&nbsp; &nbsp;はずむ<br></div> [sound:neospeech-4584afd1-3361a8b8-bc302d59-11da2c1f-d42f604b.mp3]弾力"
"摘む","つまむ to pinch; to hold (between one's fingers); to pick up (with chopsticks, tweezers, etc.)<br><div>&nbsp;2.&nbsp;to pick up and eat; to snack on​</div><div><br></div><div>彼女は美しい花をたくさん摘んだ。 <div> She picked a lot of beautiful flowers</div></div><div><div>草を摘む、若菜を摘む</div><div>to gather herbs―cull young herbs</div></div><div><img src=""paste-aabe5672a41b94c110d3a1e3a8fd71de2a50edd4.jpg""><img src=""paste-2b609069d53e7089163664832a9eea32ed6219f5.jpg""><br></div> [sound:neospeech-06d66dc0-2154435a-7987e06b-d383a6d3-d83ec3e4.mp3]摘む"
"循環","<div>じゅんかん circulation; rotation; cycle; loop​<br></div><div><br></div><div>賃金と物価のあ悪循環を断ち切ることは困難だ。 <div> It is difficult to break the vicious circle of wages and prices</div></div><div>循環器<br></div><div>circulatory organ​<br></div><div>血液の循環<br></div><div>circulation of blood<br></div><div><br></div><div>環 ring, circle, link</div><div><div>循 sequential, follow&nbsp;</div></div><div><img src=""paste-8af3816870e504a02cde6a3029006b717e7848fd.jpg""><br></div> [sound:neospeech-baded739-547ace5d-12e609bc-af41ef38-f92e43dd.mp3]循環"
"犯す","おかす&nbsp; to commit (e.g. crime); to perpetrate; to make (e.g. mistake)​<div><div>2. to break (e.g. rule); to violate; to transgress; to contravene​</div></div><div><div>3. to rape; to violate; to ravish</div></div><div><br></div><div>野望のために彼は殺人を犯した。 <div> Ambition drove him to murder.</div></div><div>法を犯してはならない。 <div> You are not to break the law</div></div><div>秘密をしゃべる罪を犯したのはだれだ。 <div> Who is guilty of telling the secret?</div></div> [sound:neospeech-a817eca3-850da4e7-d9f51e83-4b46e5af-d5f50bd9.mp3]犯す"
"戦法","<div><br><div><br></div><div><div>法 method, law, rule, principle</div></div> [sound:neospeech-1ff8d2ee-22c20c2d-1b8c6a23-32749cb9-74d23af4.mp3]</div>戦法"
"炙る","あぶる to warm (e.g. one's hands over a fire); to dry​<div>&nbsp;2.&nbsp;to toast; to grill; to broil; to roast</div><div><br></div><div>彼は濡れた服を火にあぶってかわかした。 <div> He dried his wet clothes by the fire</div></div><div>それは油であぶられた。 <div> That was cooked in oil</div></div><div><img src=""paste-21016b1520e5f91ad2cd3b543a0840345735fb51.jpg""><br></div> [sound:neospeech-fea68493-15561ba5-97e0f117-3f6251e1-7175bbe4.mp3]炙る"
"炎","<div><div>ほのお&nbsp; flame; blaze​</div></div><div><div>2. flames (of intense emotion, e.g. love, jealousy, anger); passion​</div></div><div><br></div><div>彼女は恋の炎に身を焼いた。 <div> She gave herself to flames of love</div><div>彼女は嫉妬の炎を燃やした。</div><div> She burned with jealousy</div></div><div>炎を消す<br></div><div>extinguish flames</div><div><img src=""paste-bcd807afddf9e027bef49f873cdbe640879148b7.jpg""><br></div> [sound:neospeech-d34e0241-0a78e624-404ed90c-72c51a7f-829636b1.mp3]炎"
"敗れる","やぶれる&nbsp;to be defeated; to be beaten; to be unsuccessful<br><div><br></div><div>明治は５対３のスコアで慶応に敗れた。 <div> Meiji was beaten by Keio by a score of three to five</div></div><div>彼らは戦いに敗れた。 <div> They lost the battle.</div></div><div>敗れても彼の意気はくじけなかった。 <div> The defeat didn't dampen his spirits</div></div> [sound:neospeech-afaad56d-f564168f-eab3f6d4-a0c99a9e-16d685aa.mp3]敗れる"
"疲労","ひろう fatigue; weariness<div><br></div><div>​<img src=""paste-51a77f20b31eed9a19d9e2f09a742da4dbcc40a1.jpg""><br></div><div><img src=""paste-6ba0eae0877aa519fe8775b19156d3a396821077.jpg""><br></div> [sound:neospeech-29ef7203-72ec9c41-30827277-a91a83f8-72db92a9.mp3]疲労"
"窮地","<div>窮地に陥る</div><div>窮地に立つ</div><div><br></div>きゅうち dilemma; predicament​<br><div><div><br></div><div>その大臣は不正取引によって窮地に立ちました。 <div> The minister was in a fix over illegal dealings</div></div><div>ボーイフレンドが職場に電話をかけてきたために、彼女は窮地に陥った。 <div> She got into hot water when her boyfriend called her at work</div></div><div>まさかそのような窮地に立たされているとは露知らず。 <div> Good grief! I had no idea you had been placed in such a tight spot</div></div><div><br></div><div>おちいる)&nbsp;to be caught in a dilemma; to get into a scrape<br></div><div><br></div><div>窮 hard up, destitute, suffer, perplexed</div></div> [sound:oddcast-6cab5d5f-2f357681-4f50ae34-ceec5ea4-d35cd9ba.mp3]<div>窮地</div>"
"抜粋","ばっすい&nbsp;&nbsp;excerpt; selection​<br><div><br></div><div>彼はその詩から一節を抜粋した。 <div> He extracted a passage from the poem</div></div><div>本の要点を抜粋した。 <div> I made an abstract of a book</div></div><div><div><br></div><div>純粋&nbsp; &nbsp;pure; true; genuine<br></div><div>粋 chic, style, purity, essence</div></div><div>抜 slip out, extract, pull out, pilfer<br></div><div>抜群&nbsp; standout; outstanding<br></div> [sound:neospeech-1fa83691-738e23b2-482df292-25a9fef0-cb4fa683.mp3]抜粋"
"行方不明","ゆくえふめい missing; lost; unaccounted for<br><div><br></div><div>負傷者は多かったが、行方不明の人はほとんどいなかった。 <div> The injured were many, but the missing were few</div></div><div>嵐のため行方不明の子供の捜索ができなかった。 <div> The storm hindered us from searching for the missing child</div></div> [sound:neospeech-7b0c29a4-cac1c95f-4ae053de-f3fbaf95-f6431cf8.mp3]行方不明"
"宣教","<div>宣教師 missionary<br></div><div>​<br></div><div>せんきょう religious mission; religious proclamation​<br></div><div><br></div><div><div>宣 proclaim, say, announce&nbsp;</div></div> [sound:neospeech-4c01805f-9e8b4068-e6b7d1dc-7853101e-9c8b1d47.mp3]宣教"
"駆けつける","かけつける to run to; to come running; to rush (someplace); to hasten​<br><div><br></div><div>彼女は急いで彼の病床へ駆けつけた。 <div> She came hurrying to his bedside.</div></div><div>５台の消防車が火事の現場に駆けつけた。 <div> Five fire engines rushed to the scene of the fire</div></div> [sound:neospeech-af142e53-671cf25b-c60dd9d1-278b3390-88f67e96.mp3]駆けつける"
"渡り鳥","わたりどり migratory bird; bird of passage​<br><div><img src=""paste-78d6fd9561b0ea8bd7693abcb58cbf38181c8d10.jpg""><br></div><div>渡 &nbsp;transi; ferry across<br></div> [sound:neospeech-a5fc5999-879daf1b-53fe266c-3bd46f62-99a1d855.mp3]渡り鳥"
"操作","そうさ operation; management; handling​<br><div>&nbsp;2.&nbsp;manipulating (to one's benefit);</div><div><br></div><div><div>操 maneuver, manipulate, operate</div></div><div><img src=""paste-e9c16803eec159fc2ea16b81e96ff0055fbc6bef.jpg""><img src=""paste-0db062e908c8242c93c93e1a21ef36cc3dfdf3b7.jpg""><br></div><div><img src=""paste-36809a2a07d48f1998d846732dc8d07611efc7f1.jpg""><br></div> [sound:neospeech-f345b9af-9c95b2da-fe71280f-9f2ceb1f-00743f8a.mp3]操作"
"設立","<div>(foundation, class for refugee, committee, business)</div>せつりつ&nbsp; establishment; founding; incorporation (of a business)<br><div><br></div><div>彼は最近会社を設立した。 <div> He set up a company recently</div></div><div>物価を調査するために委員会が設立された。 <div> A committee was constituted to investigate prices</div></div><div>彼らは難民たちのために日本語の授業を設立した。 <div> They established a Japanese language class for the refugees</div></div><div>滅亡の危機に瀕した地球を守ろうと、ある基金が設立された。 <div> A fund was set up with a view to preserving our endangered planet</div></div><div><br></div><div><div>設 establishment, provision, prepare&nbsp;&nbsp;</div></div> [sound:neospeech-c61f2fa7-414fd2a7-88263947-52992d19-a313cc5d.mp3]設立"
"財団","ざいだん&nbsp;&nbsp;foundation​<div><br></div><div><div>財&nbsp; property, money</div><div><img src=""paste-58a9fe7be6060f2ffc2eb5ddf99550ec6fd41974.jpg""><br></div></div> [sound:neospeech-853f1086-9a18874b-d710d3f0-46e68d1b-931a1fe4.mp3]財団"
"遺跡","いせき&nbsp;&nbsp;historic ruins (remains, relics); archeological site​<br><div><img src=""paste-4f8cc60f0c2ab84e2a16a368acf19df5b742ce34.jpg""><br></div><div>[already have audio card]</div> [sound:neospeech-0d322e9a-0fe9806f-7b7a5468-600bc310-57f9169a.mp3]遺跡"
"背筋","<div>背筋を伸ばす - to straighten up one's back (e.g. stand up straight, sit up straight)<br></div><div><br></div>せすじ spine; line of the backbone​<br><div><br></div><div><div>筋 muscle, sinew, tendon, fiber</div></div><div><img src=""paste-afec0a94d899a5085a3bc8b3b77b2d037b9f5aae.jpg""><img src=""paste-3ac9b557518d7b2e82bbcc30d991ad40156d8222.jpg""><br></div> [sound:oddcast-46ce0f46-f4ed952a-da43ba96-40db9670-3b6f64da.mp3]背筋"
"掟","おきて&nbsp;&nbsp;law; regulation; rule; code<br><div><img src=""paste-d23f06fc5ed773901e929308ea34dc5b610e8058.jpg""><br></div> [sound:neospeech-9a803046-11f1e2bd-747b4f22-6a53744b-351f28ce.mp3]掟"
"栓","せん stopper; cork<br><div><br></div><div>栓を抜く - to uncork a bottle<br></div><div><img src=""paste-f4a21d3ba0fd93d9a57d6329c86d819f0e0ab6a5.jpg""><img src=""paste-c38d1965aab6c04f1d09c9bd4baa1cec520b7170.jpg""><br></div><div><img src=""paste-43f0deadfb3131139af8660d917735129aaef5a7.jpg""><br></div> [sound:neospeech-1d7295aa-b1b6c12c-31201e21-b96d0abd-f208c2ab.mp3]栓"
"祖父","そふ&nbsp;&nbsp;grandfather​<br><div><br></div><div><div>祖 ancestor, pioneer</div></div> [sound:neospeech-306d16bf-8ce59978-30de6cea-74d5d63f-d6c9c0dc.mp3]祖父"
"彫刻","ちょうこく Sculpture; carving; engraving; ​<br><div><img src=""paste-b1c9606315b31f3496964a0b64f91bd716afcb18.jpg""><br></div><div><div><br></div><div>彫 carve, engrave</div></div><div><div>刻 engrave, cut fine, chop, hash</div></div> [sound:neospeech-9d8074d0-21a9fc31-23ca3949-e0b44e90-53b8d75f.mp3]彫刻"
"細胞","さいぼう&nbsp;&nbsp;Cell (biology)<br><div><br></div><div><div>細 dainty, get thin, taper, slender</div></div><div><div>胞 placenta, sac</div></div><div><img src=""paste-d4ee05aa7e2721b13a34950c073b57cb51ec8142.jpg""><br></div> [sound:neospeech-653e62d9-36889380-6b960f52-6087c097-1bd12f2b.mp3]細胞"
"墜落","ついらく&nbsp; fall; crash (e.g. aircraft, person)​<br><div><br></div><div><div>墜 crash, fall (down)&nbsp;</div></div><div><img src=""paste-c99df9c61e28bf794fdeaeaf42ddf93ec2c9966c.jpg""><img src=""paste-cdca72c005995588361b15028a6de3ed53453bb3.jpg""><br></div> [sound:neospeech-141f230b-2a5b3093-0ca76322-bb1df856-f0f7e3c7.mp3]墜落"
"操縦","そうじゅう steering; piloting; flying<br><div><br></div><div>操縦室<br></div><div>cockpit</div><div><br></div><div><div>縦 vertical, length, height, self-indulgent</div></div><div><img src=""paste-eec72f60e707728b283c0c0fe421456d2e5aa1cb.jpg""><br></div> [sound:neospeech-e5b48254-2a8c960f-a2d9e2b8-214034bc-84d32454.mp3]操縦"
"公開","こうかい opening to the public; making available to the public; putting on display<br><div>2. publicliy traded (stock)</div><div><br></div><div><img src=""paste-d040ab644de8b50764731f55fbf039cd852f8bba.jpg""><br></div> [sound:neospeech-b941881f-899d8804-8aeef1bd-6cb88365-a4dd17b3.mp3]公開"
"気の毒","<div><div>きのどく pitiful; unfortunate; poor; miserable; wretched​</div></div><div><div>2. unpardonable; regrettable​</div></div><div><br></div><div>本当におお気の毒に存じます。 <div> I feel deeply for you.</div></div><div>彼女は気の毒な状態だった。 <div> She was in a sad state.</div></div> [sound:neospeech-f6c7a666-5301ac76-20b25049-5aa522a0-f7a666ad.mp3]気の毒"
"慈悲","じひ mercy; compassion; clemency<br><div><br></div><div>彼は裁判官に慈悲を求めた。 <div> He appealed to the judge for mercy</div></div><div>お慈悲ですから命ばかりはお助けを！ <div> Have mercy on me and spare my life, please!</div></div><div><div><br></div><div>慈 mercy&nbsp;</div></div><div>悲 grieve, sad<br></div> [sound:neospeech-fd99e34c-0ba38aca-b3d5432f-8eaf8a62-fa76592f.mp3]慈悲"
"公然","<div>公然と</div><div><br></div>こうぜん (in) public; how everyone can see or know<div><br></div><div>彼は公然と私を侮辱した。 <div> He insulted me in public.</div></div><div>公然と悪態をつかないでよ。 <div> Don't swear in public</div></div><div>その国は公然と核武装するとおどしている。 <div> That country has openly threatened to go nuclear</div></div><div><div><br></div><div>然 sort of thing</div></div> [sound:neospeech-ec36c9f1-f7a59c21-d643c1fe-10488088-c18f1eba.mp3]公然"
